nohup: ignoring input
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/pandas_datareader/compat/__init__.py:7: FutureWarning: pandas.util.testing is deprecated. Use the functions in the public API at pandas.testing instead.
  from pandas.util.testing import assert_frame_equal
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/sklearn/externals/joblib/__init__.py:15: FutureWarning: sklearn.externals.joblib is deprecated in 0.21 and will be removed in 0.23. Please import this functionality directly from joblib, which can be installed with: pip install joblib. If this warning is raised when loading pickled models, you may need to re-serialize those models with scikit-learn 0.21+.
  warnings.warn(msg, category=FutureWarning)
第1次尝试:a1 = 4509, a2 = 2611, a3 = 840, a4 = 8327, a5 = 4854, 年化收益率: 0.20529001068966277
第139次尝试:a1 = 376, a2 = 3142, a3 = 267, a4 = 1587, a5 = 51, 年化收益率: 0.2674986951214101

第140次尝试:a1 = 5968, a2 = 704, a3 = 1748, a4 = 6744, a5 = 4778, 年化收益率: 0.21044251479737147

第141次尝试:a1 = 5845, a2 = 2382, a3 = 3042, a4 = 2652, a5 = 4625, 年化收益率: 0.1583681583284961

第142次尝试:a1 = 6187, a2 = 9856, a3 = 7880, a4 = 6874, a5 = 8409, 年化收益率: 0.13382638318656995

第143次尝试:a1 = 4882, a2 = 733, a3 = 7061, a4 = 2284, a5 = 3073, 年化收益率: 0.12918407602172152

第144次尝试:a1 = 5304, a2 = 8083, a3 = 5317, a4 = 4900, a5 = 1287, 年化收益率: 0.17810605319579328

第145次尝试:a1 = 5146, a2 = 2791, a3 = 995, a4 = 5749, a5 = 3303, 年化收益率: 0.1373794553092869

第146次尝试:a1 = 8429, a2 = 6818, a3 = 3733, a4 = 443, a5 = 7160, 年化收益率: 0.15836815832849596

第147次尝试:a1 = 2713, a2 = 1427, a3 = 1660, a4 = 8474, a5 = 2190, 年化收益率: 0.3834988484503032

第148次尝试:a1 = 1304, a2 = 8458, a3 = 6519, a4 = 2159, a5 = 6300, 年化收益率: 0.13382638318656995

第149次尝试:a1 = 119, a2 = 5349, a3 = 2572, a4 = 4026, a5 = 2809, 年化收益率: 0.13382638318656995

第150次尝试:a1 = 7760, a2 = 4541, a3 = 7421, a4 = 559, a5 = 2046, 年化收益率: 0.13178554618743804

第151次尝试:a1 = 4540, a2 = 1935, a3 = 7284, a4 = 5438, a5 = 5062, 年化收益率: 0.1583681583284961

第152次尝试:a1 = 6701, a2 = 9366, a3 = 8966, a4 = 7856, a5 = 180, 年化收益率: 0.21154564596929648

第153次尝试:a1 = 7063, a2 = 394, a3 = 2918, a4 = 9087, a5 = 4940, 年化收益率: 0.24598761432318417

第154次尝试:a1 = 4930, a2 = 1842, a3 = 2734, a4 = 1382, a5 = 9889, 年化收益率: 0.11520264925873801

第155次尝试:a1 = 3784, a2 = 7904, a3 = 8707, a4 = 2555, a5 = 9864, 年化收益率: 0.15836815832849596

第156次尝试:a1 = 8180, a2 = 5826, a3 = 5229, a4 = 4976, a5 = 1463, 年化收益率: 0.17810605319579328

第157次尝试:a1 = 8528, a2 = 7176, a3 = 6130, a4 = 7328, a5 = 833, 年化收益率: 0.1689715550999662

第158次尝试:a1 = 9925, a2 = 8237, a3 = 1029, a4 = 4676, a5 = 5617, 年化收益率: 0.13382638318656995

第159次尝试:a1 = 9344, a2 = 6874, a3 = 1560, a4 = 6532, a5 = 4395, 年化收益率: 0.13382638318656995

第160次尝试:a1 = 3119, a2 = 4144, a3 = 6555, a4 = 5039, a5 = 1956, 年化收益率: 0.11492558802099216

第161次尝试:a1 = 3682, a2 = 4194, a3 = 8941, a4 = 649, a5 = 6996, 年化收益率: 0.1583681583284961

第162次尝试:a1 = 8615, a2 = 7809, a3 = 3666, a4 = 5480, a5 = 5519, 年化收益率: 0.13382638318656995

第163次尝试:a1 = 3621, a2 = 7884, a3 = 4083, a4 = 9294, a5 = 8163, 年化收益率: 0.15836815832849596

第164次尝试:a1 = 1440, a2 = 488, a3 = 1062, a4 = 3883, a5 = 8360, 年化收益率: 0.0689196889801249

第165次尝试:a1 = 560, a2 = 7266, a3 = 7378, a4 = 8657, a5 = 6410, 年化收益率: 0.13737945530928686

第166次尝试:a1 = 2558, a2 = 964, a3 = 1338, a4 = 9920, a5 = 5173, 年化收益率: 0.2849632570330993

第167次尝试:a1 = 9265, a2 = 3166, a3 = 6299, a4 = 9496, a5 = 3758, 年化收益率: 0.2583991519288942

第168次尝试:a1 = 6754, a2 = 4444, a3 = 5615, a4 = 117, a5 = 4337, 年化收益率: 0.15836815832849596

第169次尝试:a1 = 7432, a2 = 8331, a3 = 8055, a4 = 7727, a5 = 3096, 年化收益率: 0.16916394637054544

第170次尝试:a1 = 8335, a2 = 6921, a3 = 9381, a4 = 9583, a5 = 3267, 年化收益率: 0.1905196109583225

第171次尝试:a1 = 204, a2 = 5597, a3 = 5371, a4 = 3682, a5 = 5174, 年化收益率: 0.15836815832849596

第172次尝试:a1 = 4273, a2 = 2493, a3 = 4357, a4 = 9419, a5 = 8015, 年化收益率: 0.12027153992784038

第173次尝试:a1 = 5927, a2 = 4550, a3 = 3497, a4 = 9176, a5 = 3292, 年化收益率: 0.24998233557695076

第174次尝试:a1 = 3706, a2 = 5145, a3 = 1424, a4 = 6631, a5 = 2784, 年化收益率: 0.18336736742042417

第175次尝试:a1 = 7769, a2 = 7794, a3 = 1010, a4 = 6105, a5 = 5807, 年化收益率: 0.13382638318656995

第176次尝试:a1 = 5809, a2 = 7453, a3 = 1453, a4 = 8617, a5 = 3953, 年化收益率: 0.17251385636850836

第177次尝试:a1 = 937, a2 = 3414, a3 = 1286, a4 = 177, a5 = 5467, 年化收益率: 0.1583681583284961

第178次尝试:a1 = 7208, a2 = 3405, a3 = 7344, a4 = 1269, a5 = 1387, 年化收益率: 0.13178554618743804

第179次尝试:a1 = 5403, a2 = 9479, a3 = 8633, a4 = 2677, a5 = 7549, 年化收益率: 0.13382638318656995

第180次尝试:a1 = 5158, a2 = 9012, a3 = 6168, a4 = 2972, a5 = 7253, 年化收益率: 0.13382638318656995

第181次尝试:a1 = 7851, a2 = 2871, a3 = 7959, a4 = 104, a5 = 8009, 年化收益率: 0.1583681583284961

第182次尝试:a1 = 7635, a2 = 6856, a3 = 1523, a4 = 5442, a5 = 2203, 年化收益率: 0.18094175022157497

第183次尝试:a1 = 2506, a2 = 1075, a3 = 5089, a4 = 2745, a5 = 4072, 年化收益率: 0.11520264925873801

第184次尝试:a1 = 7807, a2 = 1180, a3 = 9439, a4 = 1464, a5 = 7586, 年化收益率: 0.11520264925873801

